#NAMES,GSM34397,GSM34402,GSM34393,GSM34383,GSM34391,GSM34395,GSM34400,GSM34388,GSM34398,GSM34385,GSM34401,GSM34399,GSM34379,GSM34394,GSM34396
1368_at,10.4256,10.36439,10.55495,11.11451,11.54866,10.3151,10.34937,11.31425,9.79726,11.4463,10.46124,10.22253,11.10716,10.53723,10.14702
1376_at,9.7376,9.62832,9.66442,9.50053,9.55072,9.71757,9.74584,9.42794,9.80181,9.42855,9.74271,9.69103,9.58702,9.66817,9.72834
1276_g_at,10.24225,9.95427,10.15527,10.98839,11.36199,10.20323,10.22278,10.70168,10.35922,10.87022,10.21402,10.41087,10.91287,10.37347,10.32926
1146_at,11.47479,11.06215,10.58395,10.01729,9.38015,10.73927,11.43013,9.98845,10.88071,10.15177,11.2417,10.75437,10.25852,11.0209,11.0728
1104_s_at,11.63893,12.50294,11.70894,13.8507,13.59363,12.18292,11.90155,13.08814,11.39196,13.88551,11.50976,11.71845,13.29223,11.41943,12.0217
904_s_at,5.78652,5.72175,5.69537,5.40419,5.42069,5.62497,5.8657,5.55581,5.8647,5.47388,5.91862,5.75174,5.3835,5.6831,5.68876
609_f_at,13.30805,12.60012,12.92739,13.86376,13.9127,13.15596,13.2173,13.70549,13.21724,13.92603,13.14697,12.94808,13.64582,13.20877,13.29786
514_at,9.262,9.48502,8.68233,10.18799,10.37837,8.99995,9.10073,9.93043,9.14752,9.85327,9.20023,8.97327,9.66297,9.05107,9.22546
437_at,13.15156,11.24589,11.86472,9.3216,9.8997,12.5449,13.78511,9.36968,13.29987,8.37884,13.12004,13.55416,8.62292,12.20136,12.44271
318_at,10.57522,9.87193,10.53892,11.83217,11.88402,10.48439,11.02975,11.62774,10.84866,11.50289,10.844,10.56745,12.0867,10.42546,10.57471
319_g_at,12.79871,12.11643,12.76136,13.77196,13.69464,12.5985,12.89902,13.8448,12.81111,13.52823,12.98984,12.65627,13.9302,12.65566,12.71041
